word,Conc_sd,Conc_mean,Conc_pred,Nchar,Nphon,Nsyll,OLD20,PLD20,SD_Concs
aeisil,1.12450706,2.741935484,3.273531391,6,5,3,3,2.6,0.375895071
astianes,1.248655191,2.677419355,2.862041914,8,7,3,2.95,3.5,0.130547863
audord,1.112106834,3.066666667,3.025053998,6,5,2,2.6,2.05,0.0294246
bineald,1.159171325,2.633333333,3.050814524,7,6,2,2.95,2.85,0.295203781
comcear,1.148998279,3.034482759,2.913095908,7,6,2,2.9,2.9,0.085833465
derianes,1.2529535,2.64516129,2.779846628,8,7,3,2.75,2.95,0.095236916
dimmuade,1.332183412,2.866666667,2.726563254,8,6,2,3.7,2.9,0.099068073
emtrop,1.094463093,2.741935484,2.634538772,6,6,2,2.85,2.95,0.075940943
enbew,1.129031728,2.966666667,3.482867656,5,5,2,2.45,2.6,0.36500922
fonbet,1.265300447,2.620689655,2.872688395,6,6,2,2.55,2.95,0.178190018
genogis,1.391683013,3.166666667,3.832037292,7,7,3,2.85,3.9,0.470488081
hivint,1.142692927,2.733333333,3.28442598,6,6,2,2.45,2.8,0.389681348
imvelt,1.117793525,2.870967742,2.233553764,6,6,2,2.65,2.75,0.450719746
magrelts,1.447947418,2.8,2.940043547,8,8,2,2.95,3.85,0.099025742
nuspril,1.236540439,2.935483871,3.518922293,7,8,3,3.15,3.75,0.412553265
ossnet,1.159171325,2.966666667,3.59108584,6,5,2,2.85,2.8,0.441531032
poffute,1.31699763,2.7,3.017806263,7,6,2,2.95,2.95,0.224722964
praroon,1.270351567,3.2,2.848649683,7,6,2,2.65,2.6,0.248442192
rivolzy,1.311312407,3.066666667,3.685959886,7,7,3,3.1,3.45,0.437906435
rogiom,1.462166555,3,3.558118488,6,6,3,2.85,3,0.394649368
rolap,1.3591585,3.225806452,3.379269815,5,5,2,2,2.45,0.108514985
rosammed,1.279816797,2.5,3.02644216,8,6,2,2.9,2.95,0.372250821
rotoule,1.274227575,2.903225806,3.554047693,7,5,2,3,2.45,0.46020057
roturt,1.337350271,3.066666667,2.986188019,6,6,2,2.4,2.1,0.056906998
socune,1.28263841,2.612903226,3.007842441,6,6,2,2.65,2.95,0.279264197
sunjals,1.353609273,3.032258065,3.185756424,7,7,2,2.8,3,0.108539731
tamards,1.494818637,2.8,2.386993124,7,7,2,2.7,2.9,0.292039963
tecioos,1.286535042,3,3.201667088,7,6,3,2.95,2.95,0.142600165
ulbin,1.1378153,3.193548387,3.39817888,5,5,2,2.3,2.55,0.144695609
